,source_image,source_mask,target_image,target_mask
138,/home/data/exports/multiomics/hes_scans/segmented_images/003 M+ V6 HES.vsi - 20x_BF_01.tif,/home/data/exports/multiomics/hes_scans/masks/003 M+ V6 HES.vsi - 20x_BF_01.tif,/home/data/exports/multiomics/hes_scans/segmented_images/003 M- V7 HES.vsi - 20x_BF_01.tif,/home/data/exports/multiomics/hes_scans/masks/003 M- V7 HES.vsi - 20x_BF_01.tif
139,/home/data/exports/multiomics/hes_scans/segmented_images/003 M- V7 HES.vsi - 20x_BF_01.tif,/home/data/exports/multiomics/hes_scans/masks/003 M- V7 HES.vsi - 20x_BF_01.tif,/home/data/exports/multiomics/mts/segmented_images/003 MM V8_01.vsi - 20x_BF_01.tif,/home/data/exports/multiomics/mts/masks/003 MM V8_01.vsi - 20x_BF_01.tif
140,/home/data/exports/multiomics/mts/segmented_images/003 MM V8_01.vsi - 20x_BF_01.tif,/home/data/exports/multiomics/mts/masks/003 MM V8_01.vsi - 20x_BF_01.tif,/home/data/exports/multiomics/ihc/lps/segmented_images/003_LPS_F9_094304_202205.vsi - 40x_BF_01.tif,/home/data/exports/multiomics/ihc/lps/masks/003_LPS_F9_094304_202205.vsi - 40x_BF_01.tif
141,/home/data/exports/multiomics/ihc/lps/segmented_images/003_LPS_F9_094304_202205.vsi - 40x_BF_01.tif,/home/data/exports/multiomics/ihc/lps/masks/003_LPS_F9_094304_202205.vsi - 40x_BF_01.tif,/home/data/exports/multiomics/ihc/lta/segmented_images/003_LTA_F10_095615_202205.vsi - 40x_BF_01.tif,/home/data/exports/multiomics/ihc/lta/masks/003_LTA_F10_095615_202205.vsi - 40x_BF_01.tif
142,/home/data/exports/multiomics/ihc/lta/segmented_images/003_LTA_F10_095615_202205.vsi - 40x_BF_01.tif,/home/data/exports/multiomics/ihc/lta/masks/003_LTA_F10_095615_202205.vsi - 40x_BF_01.tif,/home/data/exports/multiomics/hes_scans/segmented_images/003 HE R11_1.vsi - 20x_01.tif,/home/data/exports/multiomics/hes_scans/masks/003 HE R11_1.vsi - 20x_01.tif
143,/home/data/exports/multiomics/hes_scans/segmented_images/003 HE R11_1.vsi - 20x_01.tif,/home/data/exports/multiomics/hes_scans/masks/003 HE R11_1.vsi - 20x_01.tif,/home/data/exports/multiomics/hes_scans/segmented_images/003 HE R21_1.vsi - 20x_01.tif,/home/data/exports/multiomics/hes_scans/masks/003 HE R21_1.vsi - 20x_01.tif
144,/home/data/exports/multiomics/hes_scans/segmented_images/045 HE R1_1.vsi - 20x_04.tif,/home/data/exports/multiomics/hes_scans/masks/045 HE R1_1.vsi - 20x_04.tif,/home/data/exports/multiomics/spatial_transcriptomics/segmented_images/045_ST_V10A20_008_4_04.tif,/home/data/exports/multiomics/spatial_transcriptomics/masks/045_ST_V10A20_008_4_04.tif
145,/home/data/exports/multiomics/spatial_transcriptomics/segmented_images/045_ST_V10A20_008_4_04.tif,/home/data/exports/multiomics/spatial_transcriptomics/masks/045_ST_V10A20_008_4_04.tif,/home/data/exports/multiomics/hes_scans/peptides/segmented_images/045_MP_F3.vsi - old_05 - 20x_BF_04.tif,/home/data/exports/multiomics/hes_scans/peptides/masks/045_MP_F3.vsi - old_05 - 20x_BF_04.tif
146,/home/data/exports/multiomics/hes_scans/peptides/segmented_images/045_MP_F3.vsi - old_05 - 20x_BF_04.tif,/home/data/exports/multiomics/hes_scans/peptides/masks/045_MP_F3.vsi - old_05 - 20x_BF_04.tif,/home/data/exports/multiomics/hes_scans/segmented_images/045 M+ V6 HES.vsi - 20x_BF_04.tif,/home/data/exports/multiomics/hes_scans/masks/045 M+ V6 HES.vsi - 20x_BF_04.tif
147,/home/data/exports/multiomics/hes_scans/segmented_images/045 M+ V6 HES.vsi - 20x_BF_04.tif,/home/data/exports/multiomics/hes_scans/masks/045 M+ V6 HES.vsi - 20x_BF_04.tif,/home/data/exports/multiomics/hes_scans/segmented_images/045 M- V7 HES.vsi - 20x_BF_04.tif,/home/data/exports/multiomics/hes_scans/masks/045 M- V7 HES.vsi - 20x_BF_04.tif
148,/home/data/exports/multiomics/hes_scans/segmented_images/045 M- V7 HES.vsi - 20x_BF_04.tif,/home/data/exports/multiomics/hes_scans/masks/045 M- V7 HES.vsi - 20x_BF_04.tif,/home/data/exports/multiomics/mts/segmented_images/045 MM V8_01.vsi - 20x_BF_04.tif,/home/data/exports/multiomics/mts/masks/045 MM V8_01.vsi - 20x_BF_04.tif
149,/home/data/exports/multiomics/mts/segmented_images/045 MM V8_01.vsi - 20x_BF_04.tif,/home/data/exports/multiomics/mts/masks/045 MM V8_01.vsi - 20x_BF_04.tif,/home/data/exports/multiomics/ihc/lps/segmented_images/045_LPS_F9_094555_202205.vsi - 40x_BF_04.tif,/home/data/exports/multiomics/ihc/lps/masks/045_LPS_F9_094555_202205.vsi - 40x_BF_04.tif
150,/home/data/exports/multiomics/ihc/lps/segmented_images/045_LPS_F9_094555_202205.vsi - 40x_BF_04.tif,/home/data/exports/multiomics/ihc/lps/masks/045_LPS_F9_094555_202205.vsi - 40x_BF_04.tif,/home/data/exports/multiomics/ihc/lta/segmented_images/045_LTA_F10_100028_202205.vsi - 40x_BF_04.tif,/home/data/exports/multiomics/ihc/lta/masks/045_LTA_F10_100028_202205.vsi - 40x_BF_04.tif
151,/home/data/exports/multiomics/ihc/lta/segmented_images/045_LTA_F10_100028_202205.vsi - 40x_BF_04.tif,/home/data/exports/multiomics/ihc/lta/masks/045_LTA_F10_100028_202205.vsi - 40x_BF_04.tif,/home/data/exports/multiomics/hes_scans/segmented_images/045 HE R11_1.vsi - 20x_04.tif,/home/data/exports/multiomics/hes_scans/masks/045 HE R11_1.vsi - 20x_04.tif
152,/home/data/exports/multiomics/hes_scans/segmented_images/046 HE R1_1.vsi - 20x_02.tif,/home/data/exports/multiomics/hes_scans/masks/046 HE R1_1.vsi - 20x_02.tif,/home/data/exports/multiomics/spatial_transcriptomics/segmented_images/046_ST_V10A20_011_2_02.tif,/home/data/exports/multiomics/spatial_transcriptomics/masks/046_ST_V10A20_011_2_02.tif
153,/home/data/exports/multiomics/spatial_transcriptomics/segmented_images/046_ST_V10A20_011_2_02.tif,/home/data/exports/multiomics/spatial_transcriptomics/masks/046_ST_V10A20_011_2_02.tif,/home/data/exports/multiomics/hes_scans/peptides/segmented_images/046_MP_F3.vsi - 20x_BF_02.tif,/home/data/exports/multiomics/hes_scans/peptides/masks/046_MP_F3.vsi - 20x_BF_02.tif
154,/home/data/exports/multiomics/hes_scans/peptides/segmented_images/046_MP_F3.vsi - 20x_BF_02.tif,/home/data/exports/multiomics/hes_scans/peptides/masks/046_MP_F3.vsi - 20x_BF_02.tif,/home/data/exports/multiomics/hes_scans/segmented_images/046 M+ V6 HES.vsi - 20x_BF_02.tif,/home/data/exports/multiomics/hes_scans/masks/046 M+ V6 HES.vsi - 20x_BF_02.tif
155,/home/data/exports/multiomics/hes_scans/segmented_images/046 M+ V6 HES.vsi - 20x_BF_02.tif,/home/data/exports/multiomics/hes_scans/masks/046 M+ V6 HES.vsi - 20x_BF_02.tif,/home/data/exports/multiomics/hes_scans/segmented_images/046 M- V7 HES.vsi - 20x_BF_02.tif,/home/data/exports/multiomics/hes_scans/masks/046 M- V7 HES.vsi - 20x_BF_02.tif
156,/home/data/exports/multiomics/hes_scans/segmented_images/046 M- V7 HES.vsi - 20x_BF_02.tif,/home/data/exports/multiomics/hes_scans/masks/046 M- V7 HES.vsi - 20x_BF_02.tif,/home/data/exports/multiomics/mts/segmented_images/046 MM V8_01.vsi - 20x_BF_02.tif,/home/data/exports/multiomics/mts/masks/046 MM V8_01.vsi - 20x_BF_02.tif
157,/home/data/exports/multiomics/mts/segmented_images/046 MM V8_01.vsi - 20x_BF_02.tif,/home/data/exports/multiomics/mts/masks/046 MM V8_01.vsi - 20x_BF_02.tif,/home/data/exports/multiomics/ihc/lps/segmented_images/046_LPS_F9_094744_202205.vsi - 40x_BF_02.tif,/home/data/exports/multiomics/ihc/lps/masks/046_LPS_F9_094744_202205.vsi - 40x_BF_02.tif
158,/home/data/exports/multiomics/ihc/lps/segmented_images/046_LPS_F9_094744_202205.vsi - 40x_BF_02.tif,/home/data/exports/multiomics/ihc/lps/masks/046_LPS_F9_094744_202205.vsi - 40x_BF_02.tif,/home/data/exports/multiomics/ihc/lta/segmented_images/046_LTA_F10_100202_202205.vsi - 40x_BF_02.tif,/home/data/exports/multiomics/ihc/lta/masks/046_LTA_F10_100202_202205.vsi - 40x_BF_02.tif
159,/home/data/exports/multiomics/ihc/lta/segmented_images/046_LTA_F10_100202_202205.vsi - 40x_BF_02.tif,/home/data/exports/multiomics/ihc/lta/masks/046_LTA_F10_100202_202205.vsi - 40x_BF_02.tif,/home/data/exports/multiomics/hes_scans/segmented_images/046 HE R11_1.vsi - 20x_02.tif,/home/data/exports/multiomics/hes_scans/masks/046 HE R11_1.vsi - 20x_02.tif
160,/home/data/exports/multiomics/hes_scans/segmented_images/046 HE R11_1.vsi - 20x_02.tif,/home/data/exports/multiomics/hes_scans/masks/046 HE R11_1.vsi - 20x_02.tif,/home/data/exports/multiomics/hes_scans/segmented_images/046 HE R21_1.vsi - 20x_02.tif,/home/data/exports/multiomics/hes_scans/masks/046 HE R21_1.vsi - 20x_02.tif
161,/home/data/exports/multiomics/hes_scans/segmented_images/001 HE R1_1.vsi - 20x_01.tif,/home/data/exports/multiomics/hes_scans/masks/001 HE R1_1.vsi - 20x_01.tif,/home/data/exports/multiomics/spatial_transcriptomics/segmented_images/001_ST_V19S23_106_1_01.tif,/home/data/exports/multiomics/spatial_transcriptomics/masks/001_ST_V19S23_106_1_01.tif
162,/home/data/exports/multiomics/spatial_transcriptomics/segmented_images/001_ST_V19S23_106_1_01.tif,/home/data/exports/multiomics/spatial_transcriptomics/masks/001_ST_V19S23_106_1_01.tif,/home/data/exports/multiomics/hes_scans/peptides/segmented_images/001_MP_F3.vsi - 20x_BF_01.tif,/home/data/exports/multiomics/hes_scans/peptides/masks/001_MP_F3.vsi - 20x_BF_01.tif
163,/home/data/exports/multiomics/hes_scans/peptides/segmented_images/001_MP_F3.vsi - 20x_BF_01.tif,/home/data/exports/multiomics/hes_scans/peptides/masks/001_MP_F3.vsi - 20x_BF_01.tif,/home/data/exports/multiomics/hes_scans/segmented_images/001 M+ V6 HES.vsi - 20x_BF_01.tif,/home/data/exports/multiomics/hes_scans/masks/001 M+ V6 HES.vsi - 20x_BF_01.tif
164,/home/data/exports/multiomics/hes_scans/segmented_images/001 M+ V6 HES.vsi - 20x_BF_01.tif,/home/data/exports/multiomics/hes_scans/masks/001 M+ V6 HES.vsi - 20x_BF_01.tif,/home/data/exports/multiomics/hes_scans/segmented_images/001 M- V7 HES.vsi - 20x_BF_01.tif,/home/data/exports/multiomics/hes_scans/masks/001 M- V7 HES.vsi - 20x_BF_01.tif
165,/home/data/exports/multiomics/hes_scans/segmented_images/001 M- V7 HES.vsi - 20x_BF_01.tif,/home/data/exports/multiomics/hes_scans/masks/001 M- V7 HES.vsi - 20x_BF_01.tif,/home/data/exports/multiomics/mts/segmented_images/001  MM V8.vsi - 20x_BF_01.tif,/home/data/exports/multiomics/mts/masks/001  MM V8.vsi - 20x_BF_01.tif
166,/home/data/exports/multiomics/mts/segmented_images/001  MM V8.vsi - 20x_BF_01.tif,/home/data/exports/multiomics/mts/masks/001  MM V8.vsi - 20x_BF_01.tif,/home/data/exports/multiomics/ihc/lps/segmented_images/001_LPS_F9_094012_202205.vsi - 40x_BF_01.tif,/home/data/exports/multiomics/ihc/lps/masks/001_LPS_F9_094012_202205.vsi - 40x_BF_01.tif
167,/home/data/exports/multiomics/ihc/lps/segmented_images/001_LPS_F9_094012_202205.vsi - 40x_BF_01.tif,/home/data/exports/multiomics/ihc/lps/masks/001_LPS_F9_094012_202205.vsi - 40x_BF_01.tif,/home/data/exports/multiomics/ihc/lta/segmented_images/001_LTA_F10_095324_202205.vsi - 40x_BF_01.tif,/home/data/exports/multiomics/ihc/lta/masks/001_LTA_F10_095324_202205.vsi - 40x_BF_01.tif
168,/home/data/exports/multiomics/ihc/lta/segmented_images/001_LTA_F10_095324_202205.vsi - 40x_BF_01.tif,/home/data/exports/multiomics/ihc/lta/masks/001_LTA_F10_095324_202205.vsi - 40x_BF_01.tif,/home/data/exports/multiomics/hes_scans/segmented_images/001 HE R11_1.vsi - 20x_01.tif,/home/data/exports/multiomics/hes_scans/masks/001 HE R11_1.vsi - 20x_01.tif
169,/home/data/exports/multiomics/hes_scans/segmented_images/001 HE R11_1.vsi - 20x_01.tif,/home/data/exports/multiomics/hes_scans/masks/001 HE R11_1.vsi - 20x_01.tif,/home/data/exports/multiomics/hes_scans/segmented_images/001 HE R21_1.vsi - 20x_01.tif,/home/data/exports/multiomics/hes_scans/masks/001 HE R21_1.vsi - 20x_01.tif
170,/home/data/exports/multiomics/hes_scans/segmented_images/047 HE R1_1.vsi - 20x_04.tif,/home/data/exports/multiomics/hes_scans/masks/047 HE R1_1.vsi - 20x_04.tif,/home/data/exports/multiomics/spatial_transcriptomics/segmented_images/047_ST_V10A20_007_4_04.tif,/home/data/exports/multiomics/spatial_transcriptomics/masks/047_ST_V10A20_007_4_04.tif
171,/home/data/exports/multiomics/spatial_transcriptomics/segmented_images/047_ST_V10A20_007_4_04.tif,/home/data/exports/multiomics/spatial_transcriptomics/masks/047_ST_V10A20_007_4_04.tif,/home/data/exports/multiomics/hes_scans/peptides/segmented_images/047_MP_F3.vsi - old_05 - 20x_BF_04.tif,/home/data/exports/multiomics/hes_scans/peptides/masks/047_MP_F3.vsi - old_05 - 20x_BF_04.tif
172,/home/data/exports/multiomics/hes_scans/peptides/segmented_images/047_MP_F3.vsi - old_05 - 20x_BF_04.tif,/home/data/exports/multiomics/hes_scans/peptides/masks/047_MP_F3.vsi - old_05 - 20x_BF_04.tif,/home/data/exports/multiomics/hes_scans/segmented_images/047 M+ V6 HES.vsi - 20x_BF_04.tif,/home/data/exports/multiomics/hes_scans/masks/047 M+ V6 HES.vsi - 20x_BF_04.tif
173,/home/data/exports/multiomics/hes_scans/segmented_images/047 M+ V6 HES.vsi - 20x_BF_04.tif,/home/data/exports/multiomics/hes_scans/masks/047 M+ V6 HES.vsi - 20x_BF_04.tif,/home/data/exports/multiomics/hes_scans/segmented_images/047 M- V7 HES.vsi - 20x_BF_04.tif,/home/data/exports/multiomics/hes_scans/masks/047 M- V7 HES.vsi - 20x_BF_04.tif
174,/home/data/exports/multiomics/hes_scans/segmented_images/047 M- V7 HES.vsi - 20x_BF_04.tif,/home/data/exports/multiomics/hes_scans/masks/047 M- V7 HES.vsi - 20x_BF_04.tif,/home/data/exports/multiomics/mts/segmented_images/047 MM V8.vsi - 20x_BF_04.tif,/home/data/exports/multiomics/mts/masks/047 MM V8.vsi - 20x_BF_04.tif
175,/home/data/exports/multiomics/mts/segmented_images/047 MM V8.vsi - 20x_BF_04.tif,/home/data/exports/multiomics/mts/masks/047 MM V8.vsi - 20x_BF_04.tif,/home/data/exports/multiomics/ihc/lps/segmented_images/047_LPS_F9_095009_202205.vsi - 40x_BF_04.tif,/home/data/exports/multiomics/ihc/lps/masks/047_LPS_F9_095009_202205.vsi - 40x_BF_04.tif
176,/home/data/exports/multiomics/ihc/lps/segmented_images/047_LPS_F9_095009_202205.vsi - 40x_BF_04.tif,/home/data/exports/multiomics/ihc/lps/masks/047_LPS_F9_095009_202205.vsi - 40x_BF_04.tif,/home/data/exports/multiomics/ihc/lta/segmented_images/047_LTA_F10_100334_202205.vsi - 40x_BF_04.tif,/home/data/exports/multiomics/ihc/lta/masks/047_LTA_F10_100334_202205.vsi - 40x_BF_04.tif
177,/home/data/exports/multiomics/ihc/lta/segmented_images/047_LTA_F10_100334_202205.vsi - 40x_BF_04.tif,/home/data/exports/multiomics/ihc/lta/masks/047_LTA_F10_100334_202205.vsi - 40x_BF_04.tif,/home/data/exports/multiomics/hes_scans/segmented_images/047 HE R11_1.vsi - 20x_04.tif,/home/data/exports/multiomics/hes_scans/masks/047 HE R11_1.vsi - 20x_04.tif
178,/home/data/exports/multiomics/hes_scans/segmented_images/047 HE R11_1.vsi - 20x_04.tif,/home/data/exports/multiomics/hes_scans/masks/047 HE R11_1.vsi - 20x_04.tif,/home/data/exports/multiomics/hes_scans/segmented_images/047 HE R21_1.vsi - 20x_04.tif,/home/data/exports/multiomics/hes_scans/masks/047 HE R21_1.vsi - 20x_04.tif
179,/home/data/exports/multiomics/hes_scans/segmented_images/045 HE R1_1.vsi - 20x_01.tif,/home/data/exports/multiomics/hes_scans/masks/045 HE R1_1.vsi - 20x_01.tif,/home/data/exports/multiomics/spatial_transcriptomics/segmented_images/045_ST_V10A20_008_1_01.tif,/home/data/exports/multiomics/spatial_transcriptomics/masks/045_ST_V10A20_008_1_01.tif
180,/home/data/exports/multiomics/spatial_transcriptomics/segmented_images/045_ST_V10A20_008_1_01.tif,/home/data/exports/multiomics/spatial_transcriptomics/masks/045_ST_V10A20_008_1_01.tif,/home/data/exports/multiomics/hes_scans/peptides/segmented_images/045_MP_F3.vsi - 20x_BF_01.tif,/home/data/exports/multiomics/hes_scans/peptides/masks/045_MP_F3.vsi - 20x_BF_01.tif
181,/home/data/exports/multiomics/hes_scans/peptides/segmented_images/045_MP_F3.vsi - 20x_BF_01.tif,/home/data/exports/multiomics/hes_scans/peptides/masks/045_MP_F3.vsi - 20x_BF_01.tif,/home/data/exports/multiomics/hes_scans/segmented_images/045 M+ V6 HES.vsi - 20x_BF_01.tif,/home/data/exports/multiomics/hes_scans/masks/045 M+ V6 HES.vsi - 20x_BF_01.tif
182,/home/data/exports/multiomics/hes_scans/segmented_images/045 M+ V6 HES.vsi - 20x_BF_01.tif,/home/data/exports/multiomics/hes_scans/masks/045 M+ V6 HES.vsi - 20x_BF_01.tif,/home/data/exports/multiomics/hes_scans/segmented_images/045 M- V7 HES.vsi - 20x_BF_01.tif,/home/data/exports/multiomics/hes_scans/masks/045 M- V7 HES.vsi - 20x_BF_01.tif
183,/home/data/exports/multiomics/hes_scans/segmented_images/045 M- V7 HES.vsi - 20x_BF_01.tif,/home/data/exports/multiomics/hes_scans/masks/045 M- V7 HES.vsi - 20x_BF_01.tif,/home/data/exports/multiomics/mts/segmented_images/045 MM V8_01.vsi - 20x_BF_01.tif,/home/data/exports/multiomics/mts/masks/045 MM V8_01.vsi - 20x_BF_01.tif
184,/home/data/exports/multiomics/mts/segmented_images/045 MM V8_01.vsi - 20x_BF_01.tif,/home/data/exports/multiomics/mts/masks/045 MM V8_01.vsi - 20x_BF_01.tif,/home/data/exports/multiomics/ihc/lps/segmented_images/045_LPS_F9_094555_202205.vsi - 40x_BF_01.tif,/home/data/exports/multiomics/ihc/lps/masks/045_LPS_F9_094555_202205.vsi - 40x_BF_01.tif
185,/home/data/exports/multiomics/ihc/lps/segmented_images/045_LPS_F9_094555_202205.vsi - 40x_BF_01.tif,/home/data/exports/multiomics/ihc/lps/masks/045_LPS_F9_094555_202205.vsi - 40x_BF_01.tif,/home/data/exports/multiomics/ihc/lta/segmented_images/045_LTA_F10_100028_202205.vsi - 40x_BF_01.tif,/home/data/exports/multiomics/ihc/lta/masks/045_LTA_F10_100028_202205.vsi - 40x_BF_01.tif
186,/home/data/exports/multiomics/ihc/lta/segmented_images/045_LTA_F10_100028_202205.vsi - 40x_BF_01.tif,/home/data/exports/multiomics/ihc/lta/masks/045_LTA_F10_100028_202205.vsi - 40x_BF_01.tif,/home/data/exports/multiomics/hes_scans/segmented_images/045 HE R11_1.vsi - 20x_01.tif,/home/data/exports/multiomics/hes_scans/masks/045 HE R11_1.vsi - 20x_01.tif
187,/home/data/exports/multiomics/hes_scans/segmented_images/045 HE R11_1.vsi - 20x_01.tif,/home/data/exports/multiomics/hes_scans/masks/045 HE R11_1.vsi - 20x_01.tif,/home/data/exports/multiomics/hes_scans/segmented_images/045 HE R21_1.vsi - 20x_01.tif,/home/data/exports/multiomics/hes_scans/masks/045 HE R21_1.vsi - 20x_01.tif
188,/home/data/exports/multiomics/hes_scans/segmented_images/048 HE R1_1.vsi - 20x_02.tif,/home/data/exports/multiomics/hes_scans/masks/048 HE R1_1.vsi - 20x_02.tif,/home/data/exports/multiomics/spatial_transcriptomics/segmented_images/048_ST_V10A20_009_2_02.tif,/home/data/exports/multiomics/spatial_transcriptomics/masks/048_ST_V10A20_009_2_02.tif
189,/home/data/exports/multiomics/spatial_transcriptomics/segmented_images/048_ST_V10A20_009_2_02.tif,/home/data/exports/multiomics/spatial_transcriptomics/masks/048_ST_V10A20_009_2_02.tif,/home/data/exports/multiomics/hes_scans/peptides/segmented_images/048_MP_F3.vsi - 20x_BF_02.tif,/home/data/exports/multiomics/hes_scans/peptides/masks/048_MP_F3.vsi - 20x_BF_02.tif
190,/home/data/exports/multiomics/hes_scans/peptides/segmented_images/048_MP_F3.vsi - 20x_BF_02.tif,/home/data/exports/multiomics/hes_scans/peptides/masks/048_MP_F3.vsi - 20x_BF_02.tif,/home/data/exports/multiomics/hes_scans/segmented_images/048 M+ V6 HES.vsi - 20x_BF_02.tif,/home/data/exports/multiomics/hes_scans/masks/048 M+ V6 HES.vsi - 20x_BF_02.tif
191,/home/data/exports/multiomics/hes_scans/segmented_images/048 M+ V6 HES.vsi - 20x_BF_02.tif,/home/data/exports/multiomics/hes_scans/masks/048 M+ V6 HES.vsi - 20x_BF_02.tif,/home/data/exports/multiomics/hes_scans/segmented_images/048 M- V7 HES.vsi - 20x_BF_02.tif,/home/data/exports/multiomics/hes_scans/masks/048 M- V7 HES.vsi - 20x_BF_02.tif
192,/home/data/exports/multiomics/hes_scans/segmented_images/048 M- V7 HES.vsi - 20x_BF_02.tif,/home/data/exports/multiomics/hes_scans/masks/048 M- V7 HES.vsi - 20x_BF_02.tif,/home/data/exports/multiomics/mts/segmented_images/048 MM V8_01.vsi - 20x_BF_02.tif,/home/data/exports/multiomics/mts/masks/048 MM V8_01.vsi - 20x_BF_02.tif
193,/home/data/exports/multiomics/mts/segmented_images/048 MM V8_01.vsi - 20x_BF_02.tif,/home/data/exports/multiomics/mts/masks/048 MM V8_01.vsi - 20x_BF_02.tif,/home/data/exports/multiomics/ihc/lps/segmented_images/048_LPS_F9_095142_202205.vsi - 40x_BF_02.tif,/home/data/exports/multiomics/ihc/lps/masks/048_LPS_F9_095142_202205.vsi - 40x_BF_02.tif
194,/home/data/exports/multiomics/ihc/lps/segmented_images/048_LPS_F9_095142_202205.vsi - 40x_BF_02.tif,/home/data/exports/multiomics/ihc/lps/masks/048_LPS_F9_095142_202205.vsi - 40x_BF_02.tif,/home/data/exports/multiomics/ihc/lta/segmented_images/048_LTA_F10_100505_202205.vsi - 40x_BF_02.tif,/home/data/exports/multiomics/ihc/lta/masks/048_LTA_F10_100505_202205.vsi - 40x_BF_02.tif
195,/home/data/exports/multiomics/ihc/lta/segmented_images/048_LTA_F10_100505_202205.vsi - 40x_BF_02.tif,/home/data/exports/multiomics/ihc/lta/masks/048_LTA_F10_100505_202205.vsi - 40x_BF_02.tif,/home/data/exports/multiomics/hes_scans/segmented_images/048 HE R11_1.vsi - 20x_02.tif,/home/data/exports/multiomics/hes_scans/masks/048 HE R11_1.vsi - 20x_02.tif
196,/home/data/exports/multiomics/hes_scans/segmented_images/048 HE R11_1.vsi - 20x_02.tif,/home/data/exports/multiomics/hes_scans/masks/048 HE R11_1.vsi - 20x_02.tif,/home/data/exports/multiomics/hes_scans/segmented_images/048 HE R21_1.vsi - 20x_02.tif,/home/data/exports/multiomics/hes_scans/masks/048 HE R21_1.vsi - 20x_02.tif
197,/home/data/exports/multiomics/hes_scans/segmented_images/048 HE R1_1.vsi - 20x_01.tif,/home/data/exports/multiomics/hes_scans/masks/048 HE R1_1.vsi - 20x_01.tif,/home/data/exports/multiomics/spatial_transcriptomics/segmented_images/048_ST_V10A20_009_1_01.tif,/home/data/exports/multiomics/spatial_transcriptomics/masks/048_ST_V10A20_009_1_01.tif
198,/home/data/exports/multiomics/spatial_transcriptomics/segmented_images/048_ST_V10A20_009_1_01.tif,/home/data/exports/multiomics/spatial_transcriptomics/masks/048_ST_V10A20_009_1_01.tif,/home/data/exports/multiomics/hes_scans/peptides/segmented_images/048_MP_F3.vsi - 20x_BF_01.tif,/home/data/exports/multiomics/hes_scans/peptides/masks/048_MP_F3.vsi - 20x_BF_01.tif
199,/home/data/exports/multiomics/hes_scans/peptides/segmented_images/048_MP_F3.vsi - 20x_BF_01.tif,/home/data/exports/multiomics/hes_scans/peptides/masks/048_MP_F3.vsi - 20x_BF_01.tif,/home/data/exports/multiomics/hes_scans/segmented_images/048 M+ V6 HES.vsi - 20x_BF_01.tif,/home/data/exports/multiomics/hes_scans/masks/048 M+ V6 HES.vsi - 20x_BF_01.tif
200,/home/data/exports/multiomics/hes_scans/segmented_images/048 M+ V6 HES.vsi - 20x_BF_01.tif,/home/data/exports/multiomics/hes_scans/masks/048 M+ V6 HES.vsi - 20x_BF_01.tif,/home/data/exports/multiomics/hes_scans/segmented_images/048 M- V7 HES.vsi - 20x_BF_01.tif,/home/data/exports/multiomics/hes_scans/masks/048 M- V7 HES.vsi - 20x_BF_01.tif
201,/home/data/exports/multiomics/hes_scans/segmented_images/048 M- V7 HES.vsi - 20x_BF_01.tif,/home/data/exports/multiomics/hes_scans/masks/048 M- V7 HES.vsi - 20x_BF_01.tif,/home/data/exports/multiomics/mts/segmented_images/048 MM V8_01.vsi - 20x_BF_01.tif,/home/data/exports/multiomics/mts/masks/048 MM V8_01.vsi - 20x_BF_01.tif
202,/home/data/exports/multiomics/mts/segmented_images/048 MM V8_01.vsi - 20x_BF_01.tif,/home/data/exports/multiomics/mts/masks/048 MM V8_01.vsi - 20x_BF_01.tif,/home/data/exports/multiomics/ihc/lps/segmented_images/048_LPS_F9_095142_202205.vsi - 40x_BF_01.tif,/home/data/exports/multiomics/ihc/lps/masks/048_LPS_F9_095142_202205.vsi - 40x_BF_01.tif
203,/home/data/exports/multiomics/ihc/lps/segmented_images/048_LPS_F9_095142_202205.vsi - 40x_BF_01.tif,/home/data/exports/multiomics/ihc/lps/masks/048_LPS_F9_095142_202205.vsi - 40x_BF_01.tif,/home/data/exports/multiomics/ihc/lta/segmented_images/048_LTA_F10_100505_202205.vsi - 40x_BF_01.tif,/home/data/exports/multiomics/ihc/lta/masks/048_LTA_F10_100505_202205.vsi - 40x_BF_01.tif
204,/home/data/exports/multiomics/ihc/lta/segmented_images/048_LTA_F10_100505_202205.vsi - 40x_BF_01.tif,/home/data/exports/multiomics/ihc/lta/masks/048_LTA_F10_100505_202205.vsi - 40x_BF_01.tif,/home/data/exports/multiomics/hes_scans/segmented_images/048 HE R11_1.vsi - 20x_01.tif,/home/data/exports/multiomics/hes_scans/masks/048 HE R11_1.vsi - 20x_01.tif
205,/home/data/exports/multiomics/hes_scans/segmented_images/048 HE R11_1.vsi - 20x_01.tif,/home/data/exports/multiomics/hes_scans/masks/048 HE R11_1.vsi - 20x_01.tif,/home/data/exports/multiomics/hes_scans/segmented_images/048 HE R21_1.vsi - 20x_01.tif,/home/data/exports/multiomics/hes_scans/masks/048 HE R21_1.vsi - 20x_01.tif
206,/home/data/exports/multiomics/hes_scans/segmented_images/046 HE R1_1.vsi - 20x_01.tif,/home/data/exports/multiomics/hes_scans/masks/046 HE R1_1.vsi - 20x_01.tif,/home/data/exports/multiomics/spatial_transcriptomics/segmented_images/046_ST_V10A20_011_1_01.tif,/home/data/exports/multiomics/spatial_transcriptomics/masks/046_ST_V10A20_011_1_01.tif
